case,full_total_m_ntd,capex_m_ntd,basic_m_ntd,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,TREC_RE20_m_ntd,monthly_peak_max_kw,oc_hours,total_charge_kwh,total_discharge_kwh,soc_min_kwh,soc_max_kwh,infeasible_steps,fallback_steps,solver_status_summary,solve_time_total_sec
DA_DET_PVFOCUS_BASE,106.43833949310616,7.3488859752761995,7.747012349999999,75.5738948671117,7.197787283543539,2.1387590171747144,6.432,5253.007631028301,992,2317096.2205178756,2091536.815942383,752.5830000000001,6773.247,0,0,"{""2"": 8760}",5.569571256637573
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,103.622169357627,7.3488859752761995,7.747012349999999,76.5207386185615,3.6931748742155786,1.8918575395737443,6.4205,4790.030995555556,850,2094545.6706145694,1890684.9446546491,752.5830000000001,6773.247,0,0,"{""2"": 8760}",14.826974391937256
MPC_DET_PVFOCUS_BASE,106.48556209243478,7.3488859752761995,7.747012349999999,75.55697498029369,7.239121212664785,2.1471675742001044,6.4464,5133.697114518235,1021,2319820.3022271837,2096497.638160033,752.5830000000001,6773.247,0,0,"{""2"": 8760}",130.8386435508728
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,104.4422179755334,7.3488859752761995,7.747012349999999,75.87658081265774,4.973722232898871,2.0478166047005963,6.4482,4810.121933333334,1007,2214167.861453441,2001146.3103617306,752.5830000000001,6773.247,0,0,"{""2"": 8760}",355.097373008728
