case,scenario_path,bridge_type,k_min,k_max,weight_sum_min,weight_sum_max,effective_scenarios_min,effective_scenarios_mean,effective_scenarios_max,min_weight,max_weight,has_realized_or_truth_columns,truth_like_columns,max_netload_kw,min_pv_kw,max_pv_kw
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_base_tkm_lowpv_safe_K5_scenarios.parquet,PV_TKM_LOWPV_SAFE,5,5,0.9999999999999999,1.0,1.350344067668442,3.165353090623942,4.768626254148705,0.002,0.854,False,,4910.1708984375,0.0,2258.859375
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_base_tkm_lowpv_safe_K5_scenarios.parquet,PV_TKM_LOWPV_SAFE,5,5,0.9999999999999999,1.0000000000000002,1.0,2.9892910736015033,4.921841162342008,0.0,1.0,False,,4798.11328125,0.0,2546.623779296875
