case,month_id,TOU_m_ntd,OC_DCT_m_ntd,monthly_peak_kw,oc_hours
DA_DET_PVFOCUS_BASE,1,3.2325571514153153,0.10095774620711116,3608.899808888889,12
DA_DET_PVFOCUS_BASE,2,3.4818950734613754,0.3558432040079999,4127.35644,13
DA_DET_PVFOCUS_BASE,3,4.690399309902149,0.33836466826800016,4092.44824,42
DA_DET_PVFOCUS_BASE,4,5.00132832998881,0.7415116004653335,4897.614871111111,74
DA_DET_PVFOCUS_BASE,5,7.29293781186198,1.1248362801769147,5093.522901277452,123
DA_DET_PVFOCUS_BASE,6,8.399667161496758,0.4585161255803947,4100.201263536665,111
DA_DET_PVFOCUS_BASE,7,8.405895489873412,0.5041926884800001,4168.293933333333,87
DA_DET_PVFOCUS_BASE,8,7.516276049083238,0.3370700773440002,3919.15468,51
DA_DET_PVFOCUS_BASE,9,9.690940700658471,0.9212539098186668,4790.030995555556,202
DA_DET_PVFOCUS_BASE,10,7.8838350831938415,1.2318186368937847,5253.007631028301,157
DA_DET_PVFOCUS_BASE,11,5.337448629258876,0.7182650919639999,4851.186853333333,78
DA_DET_PVFOCUS_BASE,12,4.6407140769174715,0.36515725433733337,4145.958497777778,42
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,1,3.2522057139292704,0.011484679664970368,3340.8558707758248,2
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,2,3.5052734751864425,0.08708538775668874,3567.3409159876833,6
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,3,4.725735095192534,0.2783906460784149,3972.667888113471,36
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,4,5.144998316542033,0.05277599300084794,3464.5566297209343,56
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,5,7.479187046269049,0.161360109136765,3657.213761384563,99
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,6,8.460361079617865,0.286555105050599,3843.849116056349,107
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,7,8.468793147928421,0.5089407680601727,4175.372167650824,82
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,8,7.569129036576366,0.42532158266551207,4050.7162562097674,56
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,9,9.751393315928262,0.9212539098186668,4790.030995555556,191
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,10,7.939320992998617,0.9211084119168973,4789.814093495673,160
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,11,5.492361152160266,0.019002371232919625,3363.3774153173144,46
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,12,4.731980246232355,0.019895909833124344,3366.0542835024694,9
MPC_DET_PVFOCUS_BASE,1,3.2492695244860688,0.08709282170933334,3567.3631866666665,11
MPC_DET_PVFOCUS_BASE,2,3.4849243512965247,0.260948690756,3937.8327466666665,14
MPC_DET_PVFOCUS_BASE,3,4.68862446454738,0.2982678332248996,4012.36668409207,53
MPC_DET_PVFOCUS_BASE,4,5.010999469228013,0.6154271136102423,4645.798440403919,86
MPC_DET_PVFOCUS_BASE,5,7.304942087976299,0.9735888224746673,4868.049648888889,122
MPC_DET_PVFOCUS_BASE,6,8.389457524857741,0.7173008607093335,4485.986497777778,107
MPC_DET_PVFOCUS_BASE,7,8.40526772892975,0.48158147640482285,4134.586103763898,91
MPC_DET_PVFOCUS_BASE,8,7.523972284269168,0.4694932684881646,4116.565519511277,56
MPC_DET_PVFOCUS_BASE,9,9.6716745668047,1.1002128365671562,5056.81532284907,187
MPC_DET_PVFOCUS_BASE,10,7.863545973002022,1.1517851424188323,5133.697114518235,153
MPC_DET_PVFOCUS_BASE,11,5.329315510148032,0.7182650919639999,4851.186853333333,89
MPC_DET_PVFOCUS_BASE,12,4.6349814947479855,0.36515725433733337,4145.958497777778,52
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,1,3.254655023214448,0.004769357573175712,3320.7380694223357,2
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,2,3.5032402625917216,0.08484766950517744,3560.6371465104176,7
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,3,4.728583990429466,0.20902213542565035,3834.1248270933697,46
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,4,5.06899757930458,0.24165821197767143,3899.30572693763,61
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,5,7.358962336827599,0.5107590413130406,4178.082771784497,119
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,6,8.39436531259404,0.5003971738826665,4162.635742222222,123
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,7,8.410036911788174,0.47124324291200015,4119.174306666667,88
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,8,7.5336694836112095,0.584976639455982,4288.723198354177,89
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,9,9.671014117807266,0.9212539098186668,4790.030995555556,190
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,10,7.887366889348733,0.9347309108800006,4810.121933333334,167
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,11,5.376625406437583,0.42686352249347986,4269.198498089634,78
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,12,4.689063498702908,0.08320041766135948,3555.702299764408,37
