panel_group,date,hour,target_time,realized_pv,q05,q10,q25,q40,q50,q60,q75,q90,q95,raw_scenario_id,medoid_id,medoid_probability,pv_s_kw
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,2.0,,,1549.1455078125
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,2.0,,,1496.0693359375
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,2.0,,,981.5279541015625
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,2.0,,,1202.8365478515625
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,2.0,,,795.1996459960938
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,2.0,,,899.3577880859375
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,2.0,,,689.8897094726562
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,2.0,,,181.03585815429688
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,2.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,2.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,2.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,2.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,2.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,2.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,3.0,,,174.04518127441406
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,3.0,,,428.6051940917969
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,3.0,,,836.419921875
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,3.0,,,992.5370483398438
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,3.0,,,1772.033935546875
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,3.0,,,1911.4005126953125
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,3.0,,,1512.01953125
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,3.0,,,1466.9383544921875
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,3.0,,,751.0906982421875
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,3.0,,,195.53196716308594
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,3.0,,,50.24567413330078
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,3.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,4.0,,,167.9395751953125
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,4.0,,,476.96905517578125
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,4.0,,,1108.4530029296875
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,4.0,,,2013.2686767578125
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,4.0,,,1818.4530029296875
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,4.0,,,1968.27685546875
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,4.0,,,1874.4979248046875
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,4.0,,,1568.4700927734375
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,4.0,,,1280.93310546875
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,4.0,,,676.12353515625
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,4.0,,,180.85435485839844
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,4.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,5.0,,,207.1400909423828
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,5.0,,,435.34722900390625
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,5.0,,,892.1576538085938
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,5.0,,,1243.1807861328125
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,5.0,,,873.851318359375
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,5.0,,,1611.6693115234375
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,5.0,,,1721.876953125
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,5.0,,,1228.6676025390625
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,5.0,,,1171.3201904296875
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,5.0,,,790.2091674804688
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,5.0,,,183.34423828125
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,5.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,6.0,,,235.86276245117188
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,6.0,,,681.2254638671875
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,6.0,,,1182.477783203125
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,6.0,,,1588.909912109375
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,6.0,,,1800.860107421875
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,6.0,,,2050.766357421875
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,6.0,,,2132.770751953125
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,6.0,,,1598.416259765625
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,6.0,,,1243.65625
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,6.0,,,579.1961669921875
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,6.0,,,180.053955078125
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,6.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,7.0,,,163.08041381835938
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,7.0,,,448.7718811035156
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,7.0,,,949.5133666992188
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,7.0,,,1539.8878173828125
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,7.0,,,2239.394287109375
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,7.0,,,1879.5303955078125
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,7.0,,,1832.3765869140625
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,7.0,,,1541.5946044921875
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,7.0,,,918.958251953125
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,7.0,,,633.3438110351562
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,7.0,,,180.1273956298828
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,7.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,8.0,,,209.90878295898438
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,8.0,,,488.528076171875
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,8.0,,,1006.9337158203125
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,8.0,,,1219.3056640625
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,8.0,,,1734.9698486328125
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,8.0,,,1622.917724609375
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,8.0,,,1652.8568115234375
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,8.0,,,1003.427001953125
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,8.0,,,684.6315307617188
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,8.0,,,669.960693359375
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,8.0,,,179.963623046875
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,8.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,9.0,,,147.982421875
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,9.0,,,477.5307312011719
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,9.0,,,955.9934692382812
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,9.0,,,1264.329833984375
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,9.0,,,873.851318359375
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,9.0,,,1424.3441162109375
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,9.0,,,907.8150024414062
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,9.0,,,705.0760498046875
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,9.0,,,802.9987182617188
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,9.0,,,675.5238037109375
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,9.0,,,167.33670043945312
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,22,2025-09-30 22:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,23,2025-09-30 23:00:00,,,,,,,,,,,9.0,,,0.0
raw,2025-09-30,0,2025-09-30 00:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,1,2025-09-30 01:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,2,2025-09-30 02:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,3,2025-09-30 03:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,4,2025-09-30 04:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,5,2025-09-30 05:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,6,2025-09-30 06:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,7,2025-09-30 07:00:00,,,,,,,,,,,10.0,,,197.05288696289062
raw,2025-09-30,8,2025-09-30 08:00:00,,,,,,,,,,,10.0,,,434.2143249511719
raw,2025-09-30,9,2025-09-30 09:00:00,,,,,,,,,,,10.0,,,810.993408203125
raw,2025-09-30,10,2025-09-30 10:00:00,,,,,,,,,,,10.0,,,1165.5794677734375
raw,2025-09-30,11,2025-09-30 11:00:00,,,,,,,,,,,10.0,,,1615.765380859375
raw,2025-09-30,12,2025-09-30 12:00:00,,,,,,,,,,,10.0,,,2141.669921875
raw,2025-09-30,13,2025-09-30 13:00:00,,,,,,,,,,,10.0,,,2139.5419921875
raw,2025-09-30,14,2025-09-30 14:00:00,,,,,,,,,,,10.0,,,1580.6256103515625
raw,2025-09-30,15,2025-09-30 15:00:00,,,,,,,,,,,10.0,,,856.6163940429688
raw,2025-09-30,16,2025-09-30 16:00:00,,,,,,,,,,,10.0,,,336.0105285644531
raw,2025-09-30,17,2025-09-30 17:00:00,,,,,,,,,,,10.0,,,84.02727508544922
raw,2025-09-30,18,2025-09-30 18:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,19,2025-09-30 19:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,20,2025-09-30 20:00:00,,,,,,,,,,,10.0,,,0.0
raw,2025-09-30,21,2025-09-30 21:00:00,,,,,,,,,,,10.0,,,0.0
