season,date,selected_issue_time,target_time,hour,actual_ghi,q50_cal,q10_cal80,q90_cal80,q25_cal_interpolated,q75_cal_interpolated,rmse,mae
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 07:00:00,7,2.7777777777777777,0.08689187963904964,0.0,1.8502056305725412,0.0,0.5633510168111857,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 08:00:00,8,25.0,13.428042284301604,4.921514282934362,21.849270607542184,6.191134819349852,16.87358598823812,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 09:00:00,9,41.666666666666664,36.06325655442449,15.381380373926724,84.62922962249714,20.644884414109352,46.27202906100197,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 10:00:00,10,113.88888888888889,48.63623578255267,30.439382180591046,161.9170078758933,41.13856943103702,93.43658605902917,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 11:00:00,11,100.0,86.61574258927149,47.0014496041152,176.0434620304301,66.75445473210019,127.14173432858664,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 12:00:00,12,105.55555555555556,99.33957981123751,65.84919666937185,245.00840901240284,87.94994532228714,159.90619224994197,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 13:00:00,13,63.888888888888886,93.56561848951316,63.28930011147823,219.22793613958527,85.15428160788468,145.2113727046521,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 14:00:00,14,66.66666666666667,81.31663848794496,50.17143511232073,180.32641109970047,59.174304687721104,127.34184498853169,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 15:00:00,15,58.333333333333336,57.22832131112602,37.24030641581679,167.71125655734355,43.19726641022234,92.8305784474501,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 16:00:00,16,41.666666666666664,35.3241206764733,21.123281960668308,97.1618730195805,27.127747442083646,55.342103385437426,22.961052649504385,14.570396998026995
Winter,2025-01-11,2025-01-10 23:00:00,2025-01-11 17:00:00,17,16.666666666666668,12.885699110135052,7.477965323631556,24.952824643784517,8.77454268516309,21.77314975070451,22.961052649504385,14.570396998026995
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 06:00:00,6,30.555555555555557,25.937867476751777,13.901049161660477,39.294577576816536,17.49325448974039,36.39833673525426,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 07:00:00,7,125.0,141.1840263925119,90.39183430236922,206.25455830463213,104.01608799637222,197.53090805259265,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 08:00:00,8,430.55555555555554,315.3982952554231,204.1898759262387,421.29000138182346,250.65461612543453,383.61659612501865,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 09:00:00,9,563.8888888888888,498.88796234092683,316.4455327060882,621.4050245430851,392.1406227412107,594.719627522082,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 10:00:00,10,822.2222222222222,649.2566414083677,392.866803167619,784.9194897806296,510.1843153286768,768.1709041957984,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 11:00:00,11,891.6666666666666,748.3847923077725,481.7748026372823,898.2063597462178,591.2415500989495,850.2165426032772,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 12:00:00,12,880.5555555555555,702.5026406036754,515.38350206416,942.9923576774747,595.6945020494807,871.4520111563822,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 13:00:00,13,777.7777777777778,665.9502018411831,394.1978011234565,910.6406301383554,504.6198094669891,804.5206611694158,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 14:00:00,14,436.1111111111111,546.528278205691,247.1818904249926,716.9923784669334,354.3159830053935,660.9378369623247,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 15:00:00,15,480.55555555555554,369.3437905304747,147.63447467925366,600.4904773808041,226.61257250755946,532.4653709628114,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 16:00:00,16,500.0,245.1113475595974,86.74108497042974,431.5369704775581,124.95160487378041,374.0317398507597,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 17:00:00,17,219.44444444444446,165.3464418693121,62.42984229782448,268.188486192714,89.32486075019332,245.1163327619036,125.54136178193001,103.12862995858728
Spring,2025-05-23,2025-05-22 22:00:00,2025-05-23 18:00:00,18,43.51910620643879,40.550351260633455,19.294823351942707,42.455592609470806,33.99648945955768,43.397253240299854,125.54136178193001,103.12862995858728
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 06:00:00,6,25.0,22.067778236070936,12.57669121505748,40.153142389734754,18.970031223537863,35.20665616452763,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 07:00:00,7,125.0,131.78687177334407,61.89619410120136,208.51423275453683,106.62887845604942,185.26577667747102,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 08:00:00,8,297.22222222222223,311.04194805631977,126.35085135987956,457.49274710692936,228.69249143619805,395.03651876750814,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 09:00:00,9,538.8888888888889,515.9612326484615,186.78411585100557,677.1839764475877,365.4201529176779,592.5806504969011,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 10:00:00,10,811.1111111111111,602.617966700637,189.15741081339849,869.6947886397983,407.3277819114559,744.3774177905902,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 11:00:00,11,869.4444444444445,609.2007664387625,29.48794020057582,1059.8085867468621,331.36184929600955,775.1531606631618,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 12:00:00,12,811.1111111111111,628.5558537159615,17.22370078027049,1081.8750889703238,356.1649820478797,819.662205638467,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 13:00:00,13,636.1111111111111,632.7300194661294,36.51026497023051,994.2554450955886,352.2874914726689,801.9904271211099,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 14:00:00,14,450.0,525.7084979300748,9.040041048188968,856.706279659637,297.72989608600255,682.4916533938803,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 15:00:00,15,241.66666666666666,452.3571380409846,0.0,920.2204677843299,242.06373632415404,651.6431240577539,135.56524016849792,101.4461480850113
