issue_time,weighted_pv_energy,weighted_peak,energy_std,sky_condition,target_day
2025-06-30 23:00:00,15305.35074133301,2095.910341796875,3191.5673284875506,clear / sunny,2025-07-01
2025-04-20 23:00:00,5816.118199958802,1086.8241595458985,5826.609882500808,variable-sky,2025-04-21
2025-02-06 23:00:00,876.1737967818826,178.31644216918943,2551.231628198633,overcast / low-PV,2025-02-07
