Feature setting,Model,Lead,n_all,RMSE,MAE,MBE,R2
with NWP features,W1_XGB_D24 with NWP,H01,8753,62.83291827187023,26.762896387037376,0.2220829427569838,0.9391692904006546
with NWP features,W1_XGB_D24 with NWP,H24,8753,101.29285576481276,48.09251158585895,-0.7990926108546968,0.841908813793814
without NWP features,XGB direct-24 without NWP,H01,8753,64.29713190098965,27.550782380422422,0.6387767159817969,0.9363011455286787
without NWP features,XGB direct-24 without NWP,H24,8753,131.78291625001083,66.39794924169618,2.280335540896486,0.7324110009317901
