season,representative_date,lead_label,issue_time,target_time,hour_of_day,horizon_h,observed_ghi,q50_cal_point_forecast
Spring,2025-05-23,H1,2025-05-23 05:00:00,2025-05-23 06:00:00,6,1,30.555555555555557,26.948359746893374
Spring,2025-05-23,H1,2025-05-23 06:00:00,2025-05-23 07:00:00,7,1,125.0,150.59207089274344
Spring,2025-05-23,H1,2025-05-23 07:00:00,2025-05-23 08:00:00,8,1,430.55555555555554,307.7576556084376
Spring,2025-05-23,H1,2025-05-23 08:00:00,2025-05-23 09:00:00,9,1,563.8888888888888,612.1767460515882
Spring,2025-05-23,H1,2025-05-23 09:00:00,2025-05-23 10:00:00,10,1,822.2222222222222,733.2080026937138
Spring,2025-05-23,H1,2025-05-23 10:00:00,2025-05-23 11:00:00,11,1,891.6666666666666,862.1451833259359
Spring,2025-05-23,H1,2025-05-23 11:00:00,2025-05-23 12:00:00,12,1,880.5555555555555,867.2878832942712
Spring,2025-05-23,H1,2025-05-23 12:00:00,2025-05-23 13:00:00,13,1,777.7777777777778,752.4095632644435
Spring,2025-05-23,H1,2025-05-23 13:00:00,2025-05-23 14:00:00,14,1,436.1111111111111,617.8157635102799
Spring,2025-05-23,H1,2025-05-23 14:00:00,2025-05-23 15:00:00,15,1,480.55555555555554,355.04513412859245
Spring,2025-05-23,H1,2025-05-23 15:00:00,2025-05-23 16:00:00,16,1,500.0,299.6423358747767
Spring,2025-05-23,H1,2025-05-23 16:00:00,2025-05-23 17:00:00,17,1,219.44444444444446,242.0375203001837
Spring,2025-05-23,H1,2025-05-23 17:00:00,2025-05-23 18:00:00,18,1,43.51910620643879,43.08588954840425
Spring,2025-05-23,H24,2025-05-22 06:00:00,2025-05-23 06:00:00,6,24,30.555555555555557,32.40965551113087
Spring,2025-05-23,H24,2025-05-22 07:00:00,2025-05-23 07:00:00,7,24,125.0,150.99539775454303
Spring,2025-05-23,H24,2025-05-22 08:00:00,2025-05-23 08:00:00,8,24,430.55555555555554,322.6072096151359
Spring,2025-05-23,H24,2025-05-22 09:00:00,2025-05-23 09:00:00,9,24,563.8888888888888,515.9095008777809
Spring,2025-05-23,H24,2025-05-22 10:00:00,2025-05-23 10:00:00,10,24,822.2222222222222,659.030132157264
Spring,2025-05-23,H24,2025-05-22 11:00:00,2025-05-23 11:00:00,11,24,891.6666666666666,725.4641945027322
Spring,2025-05-23,H24,2025-05-22 12:00:00,2025-05-23 12:00:00,12,24,880.5555555555555,752.2348574092803
Spring,2025-05-23,H24,2025-05-22 13:00:00,2025-05-23 13:00:00,13,24,777.7777777777778,714.6219170499616
Spring,2025-05-23,H24,2025-05-22 14:00:00,2025-05-23 14:00:00,14,24,436.1111111111111,588.7103589287
Spring,2025-05-23,H24,2025-05-22 15:00:00,2025-05-23 15:00:00,15,24,480.55555555555554,439.920916244518
Spring,2025-05-23,H24,2025-05-22 16:00:00,2025-05-23 16:00:00,16,24,500.0,288.2260585748901
Spring,2025-05-23,H24,2025-05-22 17:00:00,2025-05-23 17:00:00,17,24,219.44444444444446,172.38161232324003
Spring,2025-05-23,H24,2025-05-22 18:00:00,2025-05-23 18:00:00,18,24,43.51910620643879,41.75461712941429
Summer,2025-07-06,H1,2025-07-06 05:00:00,2025-07-06 06:00:00,6,1,25.0,22.55391385464428
Summer,2025-07-06,H1,2025-07-06 06:00:00,2025-07-06 07:00:00,7,1,125.0,151.79261672276448
Summer,2025-07-06,H1,2025-07-06 07:00:00,2025-07-06 08:00:00,8,1,297.22222222222223,307.152531039123
Summer,2025-07-06,H1,2025-07-06 08:00:00,2025-07-06 09:00:00,9,1,538.8888888888889,474.51225193828986
Summer,2025-07-06,H1,2025-07-06 09:00:00,2025-07-06 10:00:00,10,1,811.1111111111111,747.7095262289948
Summer,2025-07-06,H1,2025-07-06 10:00:00,2025-07-06 11:00:00,11,1,869.4444444444445,886.6257180508363
Summer,2025-07-06,H1,2025-07-06 11:00:00,2025-07-06 12:00:00,12,1,811.1111111111111,914.3283709395506
Summer,2025-07-06,H1,2025-07-06 12:00:00,2025-07-06 13:00:00,13,1,636.1111111111111,747.5726663911936
Summer,2025-07-06,H1,2025-07-06 13:00:00,2025-07-06 14:00:00,14,1,450.0,516.1115827822277
Summer,2025-07-06,H1,2025-07-06 14:00:00,2025-07-06 15:00:00,15,1,241.66666666666666,373.31416636675897
Summer,2025-07-06,H1,2025-07-06 15:00:00,2025-07-06 16:00:00,16,1,158.33333333333334,188.36593135521863
Summer,2025-07-06,H1,2025-07-06 16:00:00,2025-07-06 17:00:00,17,1,55.55555555555556,111.29583027152412
Summer,2025-07-06,H1,2025-07-06 17:00:00,2025-07-06 18:00:00,18,1,27.77777777777778,33.52601583355078
Summer,2025-07-06,H24,2025-07-05 06:00:00,2025-07-06 06:00:00,6,24,25.0,11.443200220522412
Summer,2025-07-06,H24,2025-07-05 07:00:00,2025-07-06 07:00:00,7,24,125.0,86.61882477090451
Summer,2025-07-06,H24,2025-07-05 08:00:00,2025-07-06 08:00:00,8,24,297.22222222222223,246.94498985347198
Summer,2025-07-06,H24,2025-07-05 09:00:00,2025-07-06 09:00:00,9,24,538.8888888888889,445.0978759767161
Summer,2025-07-06,H24,2025-07-05 10:00:00,2025-07-06 10:00:00,10,24,811.1111111111111,404.06427110333306
Summer,2025-07-06,H24,2025-07-05 11:00:00,2025-07-06 11:00:00,11,24,869.4444444444445,345.70265390594886
Summer,2025-07-06,H24,2025-07-05 12:00:00,2025-07-06 12:00:00,12,24,811.1111111111111,519.6106970825812
Summer,2025-07-06,H24,2025-07-05 13:00:00,2025-07-06 13:00:00,13,24,636.1111111111111,540.3350254378614
Summer,2025-07-06,H24,2025-07-05 14:00:00,2025-07-06 14:00:00,14,24,450.0,441.1897323014839
Summer,2025-07-06,H24,2025-07-05 15:00:00,2025-07-06 15:00:00,15,24,241.66666666666666,329.8330227751616
Summer,2025-07-06,H24,2025-07-05 16:00:00,2025-07-06 16:00:00,16,24,158.33333333333334,248.61658488668036
Summer,2025-07-06,H24,2025-07-05 17:00:00,2025-07-06 17:00:00,17,24,55.55555555555556,195.7471610359751
Summer,2025-07-06,H24,2025-07-05 18:00:00,2025-07-06 18:00:00,18,24,27.77777777777778,71.95340151566913
Autumn,2025-09-14,H1,2025-09-14 05:00:00,2025-09-14 06:00:00,6,1,5.555555555555555,4.067710992785689
Autumn,2025-09-14,H1,2025-09-14 06:00:00,2025-09-14 07:00:00,7,1,111.11111111111111,126.73732030463671
Autumn,2025-09-14,H1,2025-09-14 07:00:00,2025-09-14 08:00:00,8,1,325.0,338.8115899342539
Autumn,2025-09-14,H1,2025-09-14 08:00:00,2025-09-14 09:00:00,9,1,552.7777777777778,526.9677449073449
Autumn,2025-09-14,H1,2025-09-14 09:00:00,2025-09-14 10:00:00,10,1,711.1111111111111,701.1003660924448
Autumn,2025-09-14,H1,2025-09-14 10:00:00,2025-09-14 11:00:00,11,1,875.0,797.7420834508213
Autumn,2025-09-14,H1,2025-09-14 11:00:00,2025-09-14 12:00:00,12,1,930.5555555555555,821.6829224628137
Autumn,2025-09-14,H1,2025-09-14 12:00:00,2025-09-14 13:00:00,13,1,336.1111111111111,875.4009862683383
Autumn,2025-09-14,H1,2025-09-14 13:00:00,2025-09-14 14:00:00,14,1,477.77777777777777,378.6476981572688
Autumn,2025-09-14,H1,2025-09-14 14:00:00,2025-09-14 15:00:00,15,1,544.4444444444445,374.00495610411764
