series,min_kw,max_kw,mean_kw,p95_kw,p99_kw,annual_energy_kwh,capacity_factor,zero_fraction
CWA_GHI_PV_TRUTH,0.0,2298.8777777777777,328.3743691503279,1671.911111111111,2054.0622222222223,2876559.473756872,0.12220854825095938,0.5059360730593607
OLD_INVALID_NTUST_SOLAR_SCALED,0.0,2531.0263852242742,357.5123733448994,1843.6790237466969,2240.348284960422,3131808.390501319,0.13305261382392983,0.49965753424657533
