artifact,role,pv_source,load_source,overwrites_existing,ready_for_replay_rerun
new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\full_year_replay_truth_package_CWA_GHI_PV.parquet,replacement replay truth package,CWA realized GHI converted to PV,carried from existing full_year_replay_truth_package load_realized_kw,NO,YES
bridge_outputs_fullyear/full_year_replay_truth_package.parquet,old replay truth package,invalid NTUST_Load_PV.csv Solar_kWh scaled,padil gross load,NO,NO - PV invalid
