case,load_profile_name,month_id,monthly_peak_kw
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,1,3337.118848888889
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,2,3696.537629611817
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,3,3752.1178550151562
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,4,4153.416415350856
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,5,4620.493855742985
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,6,4477.91207596723
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,7,4331.440306666666
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,8,4557.933213069942
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,9,4961.050995555555
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,10,4947.8851220804845
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,11,4520.31626374902
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,12,3663.8797108399253
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,1,3337.118848888889
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,2,3846.7003967019996
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,3,4022.0271916738175
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,4,4528.868443750803
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,5,5037.54052888889
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,6,4507.705536979771
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,7,4331.440306666666
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,8,4613.702465661824
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,9,4961.050995555555
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,10,5207.447626468436
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,11,4935.462826666667
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,12,4224.422026666666
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,1,3337.118848888889
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,2,3400.9766402246105
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,3,3427.404214950713
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,4,3771.345121034249
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,5,4010.4501952148444
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,6,4942.179118414304
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,7,4294.4716164868005
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,8,4335.550838243229
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,9,4970.998475710909
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,10,4888.916106174045
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,11,3586.3914287936745
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,12,3641.1391048611113
