load_profile_name,scenario_file,exists,k_min,k_max,weight_sum_min,weight_sum_max,effective_scenarios_min,effective_scenarios_mean,effective_scenarios_max,profile_values,has_realized_or_truth_columns,truth_like_columns,bridge_type_values
structured_low,new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_low_tkm_lowpv_safe_K5_scenarios.parquet,True,5,5,0.9999999999999999,1.0000000000000002,1.0,3.0197808934360566,4.973936572360829,structured_low,False,,PV_TKM_LOWPV_SAFE
structured_high,new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_high_tkm_lowpv_safe_K5_scenarios.parquet,True,5,5,0.9999999999999999,1.0000000000000002,1.0,2.956412425909164,4.921259842519685,structured_high,False,,PV_TKM_LOWPV_SAFE
