case,load_profile_name,full_total_m_ntd,capex_m_ntd,basic_m_ntd,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,TREC_RE20_m_ntd,monthly_peak_max_kw,oc_hours,first_step_charging_near_risk_hours,shield_slack_positive_hours,risk0_hours,soc_min_kwh,soc_max_kwh,infeasible_steps,fallback_steps,solver_status_summary,solve_time_total_sec
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,99.87319998245407,7.3488859752761995,7.747012349999999,70.96394449477762,6.058010215409183,2.1495469469910624,5.6058,4951.651354518236,798,91,0,342,752.5830000000001,6773.247,0,0,"{""2"": 8760}",132.37488889694214
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,98.21573471668637,7.3488859752761995,7.747012349999999,71.22636587684852,4.228947241155711,2.06512327340594,5.5994,4524.3360074334705,820,409,0,1628,752.5830000000001,6773.247,0,0,"{""2"": 8760}",356.03148317337036
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,99.32416294922831,7.3488859752761995,7.747012349999999,71.0369943627351,5.451850096104689,2.1322201651123165,5.6072,4843.356106468437,755,1,0,31,752.5830000000001,6773.247,0,0,"{""2"": 8760}",133.84920167922974
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,97.20391595488891,7.3488859752761995,7.747012349999999,71.42419869639967,3.0672091447562924,2.0169097884567577,5.5997,4459.054314347628,696,5,4,186,752.5830000000001,6773.247,0,0,"{""2"": 8760}",365.6199128627777
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,113.15800924170593,7.3488859752761995,7.747012349999999,80.15902613393742,8.460187100194217,2.1443976822980875,7.2985,5467.491483208894,1278,134,0,472,752.5830000000001,6773.247,0,0,"{""2"": 8760}",133.0910565853119
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,111.24623981832572,7.3488859752761995,7.747012349999999,80.48398154234444,6.325324270795482,2.0413356799095963,7.2997,4961.050995555555,1227,456,0,1850,752.5830000000001,6773.247,0,0,"{""2"": 8760}",359.099467754364
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,112.49903825678027,7.3488859752761995,7.747012349999999,80.25787685240182,7.723435529925254,2.120127549176985,7.3017,5207.447626468436,1226,2,2,61,752.5830000000001,6773.247,0,0,"{""2"": 8760}",135.23297786712646
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,110.37472142831099,7.3488859752761995,7.747012349999999,80.91323423926895,5.122671956797535,1.9428169069683159,7.3001,4970.998475710909,1062,2,10,398,752.5830000000001,6773.247,0,0,"{""2"": 8760}",365.3810691833496
