timestamp,standard_mpc_demand_kw,standard_mpc_p_grid_realized,standard_mpc_p_ch_exec,standard_mpc_p_dis_exec,standard_mpc_E_soc,ccor_v2_demand_kw,ccor_v2_p_grid_realized,ccor_v2_p_ch_exec,ccor_v2_p_dis_exec,ccor_v2_E_soc_before,ccor_v2_E_soc,ccor_v2_D_guard_kw,ccor_v2_D_cert_kw,ccor_v2_risk0,ccor_v2_z_shield_max,ccor_v2_first_step_netload_max_kw,event_timestamp,relative_hour
2025-06-12 02:00:00,4076.0504400000004,4051.7400000000002,1510.7400000000002,0.0,3565.4384318474677,2958.068978947367,2940.4264204248184,399.42642042481856,0.0,3523.3859005964223,3902.841,4444.508,4294.508,False,0.0,2541.0,2025-06-12 08:00:00,-6
2025-06-12 03:00:00,2802.877561643629,2786.160598055297,355.1605980552971,0.0,3902.841,3965.3904400000006,3941.7400000000007,1510.7400000000005,0.0,3902.841,5338.044,4444.508,4294.508,False,0.0,2431.0,2025-06-12 08:00:00,-5
2025-06-12 04:00:00,3913.0784400000007,3889.7400000000007,1510.7400000000005,0.0,5338.044,2393.274,2379.0,0.0,0.0,5338.044,5338.044,4444.508,4294.508,False,0.0,2379.0,2025-06-12 08:00:00,-4
2025-06-12 05:00:00,3791.7302488888895,3769.115555555556,1510.7400000000005,0.0,6773.247,2271.9258088888887,2258.3755555555554,0.0,0.0,5338.044,5338.044,4444.508,4294.508,False,0.0,2336.0,2025-06-12 08:00:00,-3
2025-06-12 06:00:00,2150.8391777777774,2138.011111111111,0.0,0.0,6773.247,2150.8391777777774,2138.011111111111,0.0,0.0,5338.044,5338.044,4444.508,4294.508,False,0.0,2292.608165740967,2025-06-12 08:00:00,-2
2025-06-12 07:00:00,2296.5750444444443,2282.8777777777777,0.0,0.0,6773.247,2296.5750444444443,2282.8777777777777,0.0,0.0,5338.044,5338.044,4444.508,4294.508,False,0.0,2358.3299560546875,2025-06-12 08:00:00,-1
2025-06-12 08:00:00,2966.1820577777776,2948.491111111111,0.0,0.0,6773.247,4485.986497777778,4459.231111111111,1510.74,0.0,5338.044,6773.246999999999,4444.508,4294.508,False,0.0,2755.874053955078,2025-06-12 08:00:00,0
2025-06-12 09:00:00,3362.3716844444443,3342.317777777778,0.0,0.0,6773.247,3362.3716844444443,3342.317777777778,0.0,0.0,6773.246999999999,6773.246999999999,4485.986497777778,4335.986497777778,False,0.0,2884.2391357421875,2025-06-12 08:00:00,1
2025-06-12 10:00:00,3573.177866666667,3551.866666666667,0.0,0.0,6773.247,3573.177866666667,3551.866666666667,0.0,0.0,6773.246999999999,6773.246999999999,4485.986497777778,4335.986497777778,False,0.0,3600.2390899658203,2025-06-12 08:00:00,2
2025-06-12 11:00:00,3591.471417777778,3570.051111111111,0.0,0.0,6773.247,3591.471417777778,3570.051111111111,0.0,0.0,6773.246999999999,6773.246999999999,4485.986497777778,4335.986497777778,False,0.0,3900.917137145996,2025-06-12 08:00:00,3
2025-06-12 12:00:00,3718.5649866666668,3696.3866666666668,0.0,0.0,6773.247,3718.5649866666668,3696.3866666666668,0.0,0.0,6773.246999999999,6773.246999999999,4485.986497777778,4335.986497777778,False,0.0,3826.822708129883,2025-06-12 08:00:00,4
2025-06-12 13:00:00,3707.8074933333332,3685.693333333333,0.0,0.0,6773.247,3707.8074933333332,3685.693333333333,0.0,0.0,6773.246999999999,6773.246999999999,4485.986497777778,4335.986497777778,False,0.0,3411.4329223632812,2025-06-12 08:00:00,5
2025-06-12 14:00:00,3719.0188044444444,3696.837777777778,0.0,0.0,6773.247,3719.0188044444444,3696.837777777778,0.0,0.0,6773.246999999999,6773.246999999999,4485.986497777778,4335.986497777778,False,0.0,3729.960174560547,2025-06-12 08:00:00,6
