timestamp,case_name,month_id,D_mtd_before,D_guard_kw,D_cert_kw,risk0,first_step_netload_expected_kw,first_step_netload_max_kw,first_step_demand_expected,first_step_demand_max,p_ch_exec,p_dis_exec,p_grid_realized,D_mth_running,z_shield_expected,z_shield_max,E_soc_before,E_soc
2024-11-01 00:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,0.0,3306.45,3156.45,False,1983.0,1983.0,3156.4500000000003,3156.4500000000003,1154.624254473161,0.0,3137.6242544731613,3156.4500000000003,0.0,0.0,3762.915,4859.808041749503
2024-11-01 01:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1834.0,1834.0,2351.430709473684,2351.430709473684,503.4062718426283,0.0,2337.4062718426285,3156.4500000000003,0.0,0.0,4859.808041749503,5338.044
2024-11-01 02:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1722.0,1722.0,1732.332,1732.332,0.0,0.0,1722.0,3156.4500000000003,0.0,0.0,5338.044,5338.044
2024-11-01 03:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1666.0,1666.0,1675.996,1675.996,0.0,0.0,1666.0,3156.4500000000003,0.0,0.0,5338.044,5338.044
2024-11-01 04:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1658.0,1658.0,1667.948,1667.948,0.0,0.0,1658.0,3156.4500000000003,0.0,0.0,5338.044,5338.044
2024-11-01 05:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1625.0,1625.0,3154.55444,3154.55444,1510.74,0.0,3135.74,3156.4500000000003,0.0,0.0,5338.044,6773.246999999999
2024-11-01 06:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1649.0,1649.0,901.7955020000004,901.7955020000004,0.0,752.5829999999996,890.4458888888892,3156.4500000000003,0.0,0.0,6773.246999999999,5981.0543684210525
2024-11-01 07:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,1963.1892741175616,1963.1892741175616,1217.8699117622664,1217.8699117622664,0.0,752.5830000000005,1162.792555555555,3156.4500000000003,0.0,0.0,5981.0543684210525,5188.861736842105
2024-11-01 08:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,2299.380480721498,2299.380480721498,2313.1767636058266,2313.1767636058266,0.0,0.0,2236.693333333333,3156.4500000000003,0.0,0.0,5188.861736842105,5188.861736842105
2024-11-01 09:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,2721.5155705649504,2721.5155705649504,2737.84466398834,2737.84466398834,0.0,0.0,2643.0977777777775,3156.4500000000003,0.0,0.0,5188.861736842105,5188.861736842105
2024-11-01 10:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,2880.040892006757,2880.040892006757,2140.2226393587976,2140.2226393587976,0.0,752.5830000000001,1985.034777777778,3156.4500000000003,0.0,0.0,5188.861736842105,4396.669105263158
2024-11-01 11:00:00,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,3156.4500000000003,3306.45,3156.45,False,3019.1801628193602,3019.1801628193602,3156.45,3156.45,118.44409165380051,0.0,2715.7663138760227,3156.4500000000003,0.0,0.0,4396.669105263158,4509.190992334268
