case,oc_hours,monthly_peak_max_kw,OC_DCT_m_ntd
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,970,4977.685764444444,6.452027155954996
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,850,4695.420945899328,3.7728312042247634
