case,risk0_hours,first_step_charging_near_risk_hours,mean_p_ch_risk0_kw,max_p_ch_risk0_kw
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,39,0,0.0,0.0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,295,3,0.1903349301434866,27.64427115637352
