case,full_total_m_ntd,capex_m_ntd,basic_m_ntd,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,TREC_RE20_m_ntd,monthly_peak_max_kw,oc_hours,first_step_charging_near_risk_hours,shield_slack_positive_hours,risk0_hours,soc_min_kwh,soc_max_kwh,infeasible_steps,fallback_steps,solver_status_summary,solve_time_total_sec
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,105.76817596176109,7.3488859752761995,7.747012349999999,75.64159341398195,6.452027155954996,2.1257570665479477,6.4529,4977.685764444444,970,0,0,39,752.5830000000001,6773.247,0,0,"{""2"": 8760}",132.58455681800842
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,103.50301158103647,7.3488859752761995,7.747012349999999,76.21686667665787,3.7728312042247634,1.971315374877645,6.4461,4695.420945899328,850,3,7,295,752.5830000000001,6773.247,0,0,"{""2"": 8760}",361.39754366874695
