mode,bridge_type,row_count,pv_envelope_coverage,pv_low_tail_coverage,pv_high_tail_coverage,pv_active_netload_upper_coverage,daylight_top5_netload_upper_coverage,daylight_top1_netload_upper_coverage,transition_netload_upper_coverage,near_oc_pv_active_upper_coverage,oc_risk_pv_active_upper_coverage,pv_sensitive_oc_upper_coverage,pv_shortfall_high_netload_coverage,all_hour_oc_risk_upper_coverage_DIAGNOSTIC,all_hour_top1_upper_coverage_DIAGNOSTIC,night_evening_load_dominant_oc_coverage_DIAGNOSTIC,scenario_max_netload_kw,actual_max_netload_kw,scenario_min_pv_kw,scenario_max_pv_kw,pv_energy_envelope_coverage,pv_energy_rows,pv_low_tail_coverage_retention_vs_raw,pv_active_netload_upper_coverage_retention_vs_raw,pv_sensitive_oc_upper_coverage_retention_vs_raw,daylight_top5_netload_upper_coverage_retention_vs_raw,daylight_top1_netload_upper_coverage_retention_vs_raw
DA,PV_TKM_LOWPV_SAFE_K5,8760,0.8414383561643836,0.8323529411764706,0.41818181818181815,0.9423893268647665,0.8328981723237598,0.7727272727272727,0.9424657534246575,0.9141630901287554,0.9021739130434783,0.9032608695652173,0.8767772511848341,0.8763020833333334,0.7727272727272727,0.8525,4910.1708984375,4668.0,0.0,2258.859375,0.8328767123287671,365,0.8788819875776398,0.9574861367837338,0.9411098527746319,0.9219653179190752,0.9189189189189189
DA,PV_TKM_SAFE_K5_OLD,8760,0.8414383561643836,0.7441176470588236,0.5060606060606061,0.9044875682231656,0.7702349869451697,0.7159090909090909,0.9273972602739726,0.8347639484978541,0.8342391304347826,0.8532608695652174,0.8104265402843602,0.8216145833333334,0.7159090909090909,0.81,4910.1708984375,4668.0,0.0,2254.468994140625,0.8602739726027397,365,0.7857142857142858,0.918977202711029,0.8890147225368064,0.8526011560693642,0.8513513513513513
DA,RAW_M500,8760,0.9555936073059361,0.9470588235294117,0.796969696969697,0.9842328684050939,0.9033942558746736,0.8409090909090909,0.982648401826484,0.9678111587982833,0.9592391304347826,0.9597826086956521,0.9478672985781991,0.9322916666666666,0.8409090909090909,0.9075,4910.1708984375,4668.0,0.0,2275.045166015625,0.9863013698630136,365,1.0,1.0,1.0,1.0,1.0
ID_H24,PV_TKM_LOWPV_SAFE_K10,210065,0.7633065955775593,0.775,0.7012626262626263,0.9243607236709117,0.5015230635335074,0.36174242424242425,0.7041569911302296,0.7855865522174535,0.7563405797101449,0.6488470076564128,0.6798973143759873,0.6143663194444444,0.36174242424242425,0.48375,4798.11328125,4668.0,0.0,2546.623779296875,0.9662716499544212,8776,0.933569530558016,0.9760538954108859,0.9580573951434879,0.9275653923541248,0.8863109048723898
ID_H24,PV_TKM_LOWPV_SAFE_K5,210065,0.7144169661771357,0.7220588235294118,0.49583333333333335,0.9021502931069335,0.47040905134899913,0.3371212121212121,0.6859987056987323,0.7529506437768241,0.7229393115942029,0.6236578625470032,0.6398104265402843,0.5898980034722222,0.3371212121212121,0.4675,4798.11328125,4668.0,0.0,2546.623779296875,0.9054238833181404,8776,0.8697962798937112,0.9526013874066169,0.9208642718576494,0.8700201207243461,0.8259860788863108
ID_H24,PV_TKM_SAFE_K5_OLD,210065,0.7172303810725251,0.6452205882352942,0.597979797979798,0.8630230442692541,0.39447345517841603,0.28125,0.665385054627127,0.6357296137339056,0.6024682971014492,0.5583291804466995,0.5128357030015798,0.5256076388888888,0.28125,0.45489583333333333,4798.11328125,4668.0,0.0,2546.623779296875,0.9017775752051048,8776,0.7772364924712135,0.9112860192102455,0.8244029700983343,0.7295774647887324,0.6890951276102089
ID_H24,RAW_M500,210065,0.8234736867160165,0.8301470588235295,0.9878787878787879,0.9470386092581362,0.5406875543951262,0.4081439393939394,0.725075183676577,0.8242131616595136,0.7965353260869565,0.6772527522312327,0.7300552922590837,0.6429578993055556,0.4081439393939394,0.5016666666666667,4798.11328125,4668.0,0.0,2546.623779296875,0.9806289881494986,8776,1.0,1.0,1.0,1.0,1.0
