mode,bridge_type,row_count,pv_envelope_coverage,pv_low_tail_coverage,pv_high_tail_coverage,pv_active_netload_upper_coverage,daylight_top5_netload_upper_coverage,daylight_top1_netload_upper_coverage,transition_netload_upper_coverage,near_oc_pv_active_upper_coverage,oc_risk_pv_active_upper_coverage,pv_sensitive_oc_upper_coverage,pv_shortfall_high_netload_coverage,all_hour_oc_risk_upper_coverage_DIAGNOSTIC,all_hour_top1_upper_coverage_DIAGNOSTIC,night_evening_load_dominant_oc_coverage_DIAGNOSTIC,scenario_max_netload_kw,actual_max_netload_kw,scenario_min_pv_kw,scenario_max_pv_kw,pv_energy_envelope_coverage,pv_energy_rows
DA,PV_TKM_SAFE_K5_OLD,8760,0.8414383561643836,0.7441176470588236,0.5060606060606061,0.9044875682231656,0.7702349869451697,0.7159090909090909,0.9273972602739726,0.8347639484978541,0.8342391304347826,0.8532608695652174,0.8104265402843602,0.8216145833333334,0.7159090909090909,0.81,4910.1708984375,4668.0,0.0,2254.468994140625,0.8602739726027397,365
DA,old_S1S6_DIAGNOSTIC_ONLY,8760,,,,0.9454214675560946,0.7127937336814621,0.875,0.8730593607305936,0.7660944206008584,0.7445652173913043,0.7456521739130435,0.7109004739336493,0.72265625,0.875,0.7025,5693.00209238395,4668.0,,,,0
ID_H24,PV_TKM_SAFE_K5_OLD,210065,0.7172303810725251,0.6452205882352942,0.597979797979798,0.8630230442692541,0.39447345517841603,0.28125,0.665385054627127,0.6357296137339056,0.6024682971014492,0.5583291804466995,0.5128357030015798,0.5256076388888888,0.28125,0.45489583333333333,4798.11328125,4668.0,0.0,2546.623779296875,0.9017775752051048,8776
ID_H24,old_S1S6_DIAGNOSTIC_ONLY,209940,,,,0.9196403732834273,0.5887728459530026,0.7301136363636364,0.8473753355800537,0.6345327604726101,0.5912698412698413,0.6412175648702595,0.5614139020537124,0.6077140681101078,0.7301136363636364,0.6228822422087429,5845.091389637207,4668.0,,,,0
