mode,load_profile_name,bridge_type,top5_netload_upper_coverage,top1_netload_upper_coverage,top5_daily_max_upper_coverage,top1_daily_max_upper_coverage
DA,base,PV_KM,0.817351598173516,0.7954545454545454,0.8947368421052632,0.75
DA,base,PV_TKM,0.8401826484018264,0.8522727272727273,0.8947368421052632,0.75
DA,base,PV_TKM_SAFE,0.815068493150685,0.7954545454545454,0.8947368421052632,0.75
DA,base,old_S1S6_LOAD_QN_REFERENCE,0.7648401826484018,0.8977272727272727,0.8947368421052632,1.0
DA,structured_high,PV_KM,0.9474885844748858,0.9659090909090909,1.0,1.0
DA,structured_high,PV_TKM,0.958904109589041,0.9659090909090909,1.0,1.0
DA,structured_high,PV_TKM_SAFE,0.9406392694063926,0.9318181818181818,1.0,1.0
DA,structured_low,PV_KM,0.24885844748858446,0.10227272727272728,0.15789473684210525,0.0
DA,structured_low,PV_TKM,0.24429223744292236,0.125,0.42105263157894735,0.25
DA,structured_low,PV_TKM_SAFE,0.23515981735159816,0.11363636363636363,0.3157894736842105,0.0
ID_H24,base,PV_KM,0.4890601217656012,0.2930871212121212,0.3355408388520971,0.40625
ID_H24,base,PV_TKM,0.524638508371385,0.3300189393939394,0.434878587196468,0.4270833333333333
ID_H24,base,PV_TKM_SAFE,0.501617199391172,0.31486742424242425,0.41280353200883,0.4166666666666667
ID_H24,base,old_S1S6_LOAD_QN_REFERENCE,0.6856082238720731,0.8077651515151515,0.868421052631579,0.8854166666666666
ID_H24,structured_high,PV_KM,0.8296232876712328,0.7755681818181818,0.9403973509933775,0.8229166666666666
ID_H24,structured_high,PV_TKM,0.8617770167427702,0.8096590909090909,0.9690949227373068,0.8958333333333334
ID_H24,structured_high,PV_TKM_SAFE,0.8420852359208524,0.7973484848484849,0.9668874172185431,0.8854166666666666
ID_H24,structured_low,PV_KM,0.111396499238965,0.03835227272727273,0.024282560706401765,0.0
ID_H24,structured_low,PV_TKM,0.13641552511415525,0.048295454545454544,0.039735099337748346,0.0
ID_H24,structured_low,PV_TKM_SAFE,0.1235730593607306,0.04450757575757576,0.037527593818984545,0.0
