mode,load_profile_name,bridge_type,daily_max_netload_envelope_coverage,top5_daily_max_upper_coverage,top1_daily_max_upper_coverage
DA,base,PV_KM,0.9424657534246575,0.8947368421052632,0.75
DA,base,PV_TKM,0.9616438356164384,0.8947368421052632,0.75
DA,base,PV_TKM_SAFE,0.9534246575342465,0.8947368421052632,0.75
DA,base,old_S1S6_LOAD_QN_REFERENCE,0.8849315068493151,0.8947368421052632,1.0
DA,structured_high,PV_KM,0.9972602739726028,1.0,1.0
DA,structured_high,PV_TKM,1.0,1.0,1.0
DA,structured_high,PV_TKM_SAFE,1.0,1.0,1.0
DA,structured_low,PV_KM,0.410958904109589,0.15789473684210525,0.0
DA,structured_low,PV_TKM,0.4794520547945205,0.42105263157894735,0.25
DA,structured_low,PV_TKM_SAFE,0.4602739726027397,0.3157894736842105,0.0
ID_H24,base,PV_KM,0.6145168641750228,0.3355408388520971,0.40625
ID_H24,base,PV_TKM,0.6866453965360073,0.434878587196468,0.4270833333333333
ID_H24,base,PV_TKM_SAFE,0.6752506836827712,0.41280353200883,0.4166666666666667
ID_H24,base,old_S1S6_LOAD_QN_REFERENCE,0.9058111656581802,0.868421052631579,0.8854166666666666
ID_H24,structured_high,PV_KM,0.9690063810391978,0.9403973509933775,0.8229166666666666
ID_H24,structured_high,PV_TKM,0.9809708295350957,0.9690949227373068,0.8958333333333334
ID_H24,structured_high,PV_TKM_SAFE,0.9797174111212398,0.9668874172185431,0.8854166666666666
ID_H24,structured_low,PV_KM,0.14972652689152233,0.024282560706401765,0.0
ID_H24,structured_low,PV_TKM,0.20054694621695535,0.039735099337748346,0.0
ID_H24,structured_low,PV_TKM_SAFE,0.1924567000911577,0.037527593818984545,0.0
