mode,load_profile_name,bridge_type,oc_risk_hour_upper_coverage,near_oc_hour_upper_coverage,monthly_peak_preservation_ratio,actual_max_netload_kw,scenario_max_netload_kw
DA,base,PV_KM,0.8385772913816689,0.852529601722282,1.047638982562475,4639.641160949868,4860.6689453125
DA,base,PV_TKM,0.8686730506155951,0.8772874058127018,1.0583083320676996,4639.641160949868,4910.1708984375
DA,base,PV_TKM_SAFE,0.8358413132694938,0.8536060279870828,1.0583083320676996,4639.641160949868,4910.1708984375
DA,base,old_S1S6_LOAD_QN_REFERENCE,0.7682737169517885,0.7925170068027211,1.2687496987919604,4487.096310489405,5693.00209238395
DA,structured_high,PV_KM,0.9439124487004104,0.9472551130247578,1.1132155956173326,4639.641160949868,5164.9208984375
DA,structured_high,PV_TKM,0.9616963064295485,0.9655543595263725,1.1132155956173326,4639.641160949868,5164.9208984375
DA,structured_high,PV_TKM_SAFE,0.9398084815321477,0.9472551130247578,1.1132155956173326,4639.641160949868,5164.9208984375
DA,structured_low,PV_KM,0.2640218878248974,0.2680301399354144,0.9917178256104614,4639.641160949868,4601.21484375
DA,structured_low,PV_TKM,0.2640218878248974,0.27018299246501615,1.0034010685180665,4639.641160949868,4655.4208984375
DA,structured_low,PV_TKM_SAFE,0.2448700410396717,0.2529601722282024,1.0034010685180665,4639.641160949868,4655.4208984375
ID_H24,base,PV_KM,0.5428066575467396,0.5743640360716048,1.0331133862179287,4639.641160949868,4793.275390625
ID_H24,base,PV_TKM,0.5722754217966256,0.6005653012696845,1.034156115700053,4639.641160949868,4798.11328125
ID_H24,base,PV_TKM_SAFE,0.5522685818513452,0.5824397684956705,1.034156115700053,4639.641160949868,4798.11328125
ID_H24,base,old_S1S6_LOAD_QN_REFERENCE,0.68948941145901,0.7214410831794726,1.3026445133288627,4487.096310489405,5845.091389637207
ID_H24,structured_high,PV_KM,0.8608071135430917,0.874960742967383,1.0872123976053982,4639.641160949868,5044.275390625
ID_H24,structured_high,PV_TKM,0.8857729138166894,0.895778186549419,1.0881905090110164,4639.641160949868,5048.8134765625
ID_H24,structured_high,PV_TKM_SAFE,0.8695850433196535,0.8816905199874377,1.0881905090110164,4639.641160949868,5048.8134765625
ID_H24,structured_low,PV_KM,0.13993388052895578,0.15657947866660685,0.9790143748304589,4639.641160949868,4542.275390625
ID_H24,structured_low,PV_TKM,0.16233470132238942,0.17398716855848176,0.9801217223890896,4639.641160949868,4547.4130859375
ID_H24,structured_low,PV_TKM_SAFE,0.15070679434564524,0.16425142446946925,0.9801217223890896,4639.641160949868,4547.4130859375
