mode,bridge_type,row_count,pv_envelope_coverage,pv_low_tail_coverage,pv_high_tail_coverage,pv_active_netload_upper_coverage,daylight_top5_netload_upper_coverage,daylight_top1_netload_upper_coverage,transition_netload_upper_coverage,near_oc_pv_active_upper_coverage,oc_risk_pv_active_upper_coverage,pv_sensitive_oc_upper_coverage,pv_shortfall_high_netload_coverage,all_hour_oc_risk_upper_coverage_DIAGNOSTIC,all_hour_top1_upper_coverage_DIAGNOSTIC,night_evening_load_dominant_oc_coverage_DIAGNOSTIC,scenario_max_netload_kw,actual_max_netload_kw,scenario_min_pv_kw,scenario_max_pv_kw,pv_energy_envelope_coverage,pv_energy_rows
DA,PV_KM,8760,0.8517123287671233,0.7588235294117647,0.5151515151515151,0.9123711340206185,0.7728459530026109,0.7272727272727273,0.9315068493150684,0.8390557939914163,0.842391304347826,0.8576086956521739,0.8151658767772512,0.8307291666666666,0.7272727272727273,0.82,4860.6689453125,4668.0,0.0,2254.468994140625,0.8849315068493151,365
DA,PV_TKM,8760,0.8501141552511415,0.7647058823529411,0.5363636363636364,0.9166161309884778,0.8093994778067886,0.7613636363636364,0.9310502283105023,0.8798283261802575,0.8722826086956522,0.883695652173913,0.8483412322274881,0.8528645833333334,0.7613636363636364,0.835,4910.1708984375,4668.0,0.0,2254.468994140625,0.8712328767123287,365
DA,PV_TKM_SAFE,8760,0.8414383561643836,0.7441176470588236,0.5060606060606061,0.9044875682231656,0.7702349869451697,0.7159090909090909,0.9273972602739726,0.8347639484978541,0.8342391304347826,0.8532608695652174,0.8104265402843602,0.8216145833333334,0.7159090909090909,0.81,4910.1708984375,4668.0,0.0,2254.468994140625,0.8602739726027397,365
DA,RAW_M500,8760,0.9555936073059361,0.9470588235294117,0.796969696969697,0.9842328684050939,0.9033942558746736,0.8409090909090909,0.982648401826484,0.9678111587982833,0.9592391304347826,0.9597826086956521,0.9478672985781991,0.9322916666666666,0.8409090909090909,0.9075,4910.1708984375,4668.0,0.0,2275.045166015625,0.9863013698630136,365
ID_H24,PV_KM,210065,0.7199914312236688,0.6368872549019607,0.6232323232323232,0.8615448756822317,0.38207136640557005,0.2746212121212121,0.6586470744984583,0.6180257510729614,0.5823143115942029,0.5482263398722421,0.492693522906793,0.5138346354166666,0.2746212121212121,0.4508333333333333,4793.275390625,4668.0,0.0,2546.623779296875,0.9030309936189608,8776
ID_H24,PV_TKM,210065,0.7209720800704544,0.6511029411764706,0.615909090909091,0.8701106731352335,0.4197127937336815,0.2902462121212121,0.6697438044843732,0.6726573676680973,0.6418704710144928,0.5776740814569836,0.5570695102685624,0.5453016493055556,0.2902462121212121,0.45645833333333335,4798.11328125,4668.0,0.0,2546.623779296875,0.9104375569735643,8776
ID_H24,PV_TKM_SAFE,210065,0.7172303810725251,0.6452205882352942,0.597979797979798,0.8630230442692541,0.39447345517841603,0.28125,0.665385054627127,0.6357296137339056,0.6024682971014492,0.5583291804466995,0.5128357030015798,0.5256076388888888,0.28125,0.45489583333333333,4798.11328125,4668.0,0.0,2546.623779296875,0.9017775752051048,8776
ID_H24,RAW_M500,210065,0.8234736867160165,0.8301470588235295,0.9878787878787879,0.9470386092581362,0.5406875543951262,0.4081439393939394,0.725075183676577,0.8242131616595136,0.7965353260869565,0.6772527522312327,0.7300552922590837,0.6429578993055556,0.4081439393939394,0.5016666666666667,4798.11328125,4668.0,0.0,2546.623779296875,0.9806289881494986,8776
