timestamp,day_index,month_id,calendar_day,hour,hour_local,case_id,mode,probabilistic,m_cal,milp_status,solve_time_sec,objective_total,objective_tou,objective_oc,objective_deg,objective_trec,objective_shield,z_shield_expected,scenario_count,scenario_weight_sum,forecast_load_first,forecast_pv_first,forecast_netload_first,max_stress_netload_H24,p_ch_exec,p_dis_exec,pv_realized,load_realized,p_grid_realized,grid_load_realized,grid_ch_realized,pv_to_load_realized,pv_to_ch_realized,p_dis_g_realized,renewable_recognized_kwh,tou_ene_hour,E_soc,E_g,D_mth_running,D_guard,D_cert,MC_OC,lambda_shield,rho_shield,Y_TREC_min,Y_TREC_max,case_key,case_label,month_period,bess_net_kw,soc_pct,tou_price_ntd_kwh,mtd_peak_before,mtd_peak_after,new_mtd_peak_increment_kw
2025-05-05 00:00:00,186,5,2025-05-05,0,1,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.06838011741638184,298777.81822000165,260307.3445356385,-3.064997144974768e-10,6115.406000948544,32355.067683414556,0.0,0.0,5,1.0,2224.0000000000005,0.0,2224.0000000000005,4002.6591186523438,0.0,0.0,0.0,2224.0,2224.0,2224.0,0.0,0.0,0.0,0.0,0.0,5159.679999999999,6221.2970000000005,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1367605.3579116147,1378214.376885919,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,82.66592522020828,2.32,3261.336515501302,3261.336515501302,0.0
2025-05-05 01:00:00,186,5,2025-05-05,1,2,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07071375846862793,294426.76419423055,257584.66442377403,-3.043396645807661e-10,6110.087776838778,30732.011993618624,0.0,0.0,5,1.0,2041.0,0.0,2041.0,4016.5555419921875,581.0,0.0,0.0,2041.0,2622.0,2041.0,581.0,0.0,0.0,0.0,0.0,6083.04,6773.247,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1366745.6114453059,1378374.3708485346,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,-581.0,90.0,2.32,3261.336515501302,3261.336515501302,0.0
2025-05-05 02:00:00,186,5,2025-05-05,2,3,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07115435600280762,289155.925186567,254204.60987099697,-3.065565579163376e-10,6187.924840644507,28763.39047492566,0.0,0.0,5,1.0,1945.0,0.0,1945.0,4042.933822631836,0.0,0.0,0.0,1945.0,1945.0,1945.0,0.0,0.0,0.0,0.0,0.0,4512.4,6773.247,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1367887.4018717129,1378733.517670663,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,90.0,2.32,3261.336515501302,3261.336515501302,0.0
2025-05-05 03:00:00,186,5,2025-05-05,3,4,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07132339477539062,291297.6171603808,255408.28551093274,-3.0519231586367823e-10,6458.622517412501,29430.709132035525,0.0,0.0,5,1.0,1853.0,0.0,1853.0,4041.650909423828,0.0,0.0,0.0,1853.0,1853.0,1853.0,0.0,0.0,0.0,0.0,0.0,4298.96,6773.247,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1367390.3168202452,1379410.4818593077,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,90.0,2.32,3261.336515501302,3261.336515501302,0.0
2025-05-05 04:00:00,186,5,2025-05-05,4,5,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07011222839355469,287241.2493282361,253270.03674760778,-3.049080987693742e-10,6586.176742864042,27385.035837765783,0.0,0.0,5,1.0,1816.0000000000002,0.0,1816.0000000000002,4044.810012817383,0.0,0.0,0.0,1816.0,1816.0,1816.0,0.0,0.0,0.0,0.0,0.0,4213.12,6773.247,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1368164.9907214902,1380064.6411807798,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,90.0,2.32,3261.336515501302,3261.336515501302,0.0
2025-05-05 05:00:00,186,5,2025-05-05,5,6,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07007145881652832,282482.0202140752,250871.0371109906,-3.0456703825620934e-10,6427.2476069073255,25183.73549617757,0.0,0.0,5,1.0,1817.0,0.0,1817.0,4048.2137908935547,0.0,0.0,35.826666666666675,1817.0,1781.1733333333334,1781.1733333333334,0.0,35.826666666666675,0.0,0.0,35.826666666666675,4132.322133333333,6773.247,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1367064.6590658966,1380129.1301333252,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,90.0,2.32,3261.336515501302,3261.336515501302,0.0
2025-05-05 06:00:00,186,5,2025-05-05,6,7,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07248401641845703,286249.2591462843,252968.55340419454,-3.0672708817292005e-10,6916.246610434103,26364.45913165639,0.0,0.0,5,1.0,1848.0,47.08501551818848,1800.9149844818116,4042.1192474365234,0.0,752.5829999999996,119.42222222222225,1848.0,975.9947777777782,975.9947777777782,0.0,119.42222222222225,0.0,0.0,119.42222222222225,5338.691434444447,5981.054368421053,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1366217.8289183797,1380408.2908953847,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,752.5829999999996,79.47368421052633,5.470000000000001,3261.336515501302,3261.336515501302,0.0
2025-05-05 07:00:00,186,5,2025-05-05,7,8,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07104301452636719,293271.2068355838,256330.15920063862,-3.0541968953912146e-10,7924.668107941958,29016.379527002515,0.0,0.0,5,1.0,2148.9999999999995,179.92153720092773,1969.0784627990724,4041.6605834960938,0.0,0.0,412.0066666666667,2149.0,1736.9933333333333,1736.9933333333333,0.0,412.0066666666667,0.0,0.0,412.0066666666667,9501.353533333333,5981.054368421053,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1373057.9100372978,1380082.6802418418,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,79.47368421052633,5.47,3261.336515501302,3261.336515501302,0.0
2025-05-05 08:00:00,186,5,2025-05-05,8,9,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07329916954040527,302304.1421564622,258707.3632063396,-3.0519231586367823e-10,9426.975031049004,34169.80391907363,0.0,0.0,5,1.0,2813.0,462.2944168701173,2350.7055831298826,4041.3643798828125,0.0,0.0,1068.828888888889,2813.0,1744.171111111111,1744.171111111111,0.0,1068.828888888889,0.0,0.0,1068.828888888889,9540.615977777778,5981.054368421053,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1371917.2505517378,1380645.4162812606,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,0.0,79.47368421052633,5.47,3261.336515501302,3261.336515501302,0.0
2025-05-05 09:00:00,186,5,2025-05-05,9,10,D_G1_R3_MPC_PROB,MPC,True,0.0,2,0.07289838790893555,294313.32244669925,251941.82508629936,-3.055902197957039e-10,11286.794684201792,31084.70267619734,0.0,0.0,5,1.0,3299.9999999999995,801.8702879638671,2498.129712036133,3986.108352661133,0.0,752.5829999999999,1122.5688888888888,3300.0,1424.8481111111112,1424.8481111111112,0.0,1122.5688888888888,0.0,0.0,1122.5688888888888,7793.919167777778,5188.861736842106,0.0,3261.336515501302,3261.336515501302,3261.336515501302,447.2,1.0,447.2,1366639.9002552256,1379627.7737484202,mpc_g1r3,Standard MPC with contract-risk-preserving probabilistic scenarios,2025-05,752.5829999999999,68.94736842105264,5.47,3261.336515501302,3261.336515501302,0.0
