window_start,window_end,baseline_max_grid_kw,improved_max_grid_kw,grid_peak_reduction_kw,baseline_mtd_peak_increment_kw,improved_mtd_peak_increment_kw,avoided_locked_peak_increment_kw,executed_dispatch_separation_kwh,soc_difference_before_baseline_peak_pct,local_tou_cost_difference_ntd,baseline_peak_time,improved_peak_time,baseline_shield_exposure_kw_hour,improved_shield_exposure_kw_hour,shield_exposure_reduction_kw_hour,baseline_shield_exposure_hours,improved_shield_exposure_hours,shield_active_hours
2025-05-05,2025-05-06 23:00:00,4346.3742026095915,3904.2233836650244,442.15081894456716,1111.1159323239467,695.6487239670146,415.46720835693213,13956.897154203007,-9.538965301499047,9683.152918520267,2025-05-06 12:00:00,2025-05-06 11:00:00,4772.316088712891,1159.2882395019983,3613.0278492108923,12,6,2
2025-09-01,2025-09-02 23:00:00,4508.424628998682,4156.591164287061,351.8334647116217,1303.4751767726748,949.5307112727833,353.9444654998915,10183.330480687957,-13.614992804318902,13596.540967310546,2025-09-02 14:00:00,2025-09-02 14:00:00,3149.949259575324,1981.0681888031068,1168.8810707722173,8,9,7
2025-03-02,2025-03-03 23:00:00,3512.0374214794238,3138.288041235012,373.7493802444119,301.1096460083004,0.0,301.1096460083004,11807.408262890598,-4.717910333241534,3077.298436073237,2025-03-03 11:00:00,2025-03-03 11:00:00,1185.2539808711745,102.27156803860044,1082.982412832574,3,2,0
2025-02-18,2025-02-19 23:00:00,3807.197261567315,3508.986525980834,298.21073558648095,598.040445136719,298.040445136719,300.0,12386.069271838463,-7.528742977376751,2731.1220178926596,2025-02-19 13:00:00,2025-02-19 13:00:00,1004.0117224681262,556.6956190884043,447.3161033797219,2,2,0
2025-02-19,2025-02-20 23:00:00,3807.197261567315,3508.986525980834,298.21073558648095,598.040445136719,298.040445136719,300.0,10713.084863246306,-7.528742977376751,2128.2532883902313,2025-02-19 13:00:00,2025-02-19 13:00:00,1004.0117224681262,556.6956190884043,447.3161033797219,2,2,0
