Metric,MPC-Prob EOD,MPC-Prob H24,MPC-Prob H48,M8-FY2 EOD,M8-FY2 H24,M8-FY2 H48
Full Total (M NTD),101.2980,101.3338,101.3990,99.4300,99.6088,99.4259
\(\Delta\) vs EOD (kNTD),—,+35.8,+101.0,—,+178.8,-4.1
