label,n,rmse_ghi,mae_ghi,mbe_ghi,r2_ghi
PERS|Overall,101688,341.99134156993955,234.08864552150052,-162.57949514702938,-0.414639959019913
PERS|H01-H03,12711,148.1705852448423,99.35636707700601,-50.924709364887974,0.7344540438747369
PERS|H04-H06,12711,289.0330399707639,200.20392057122038,-164.58036344672962,-0.010440350951742783
PERS|H07-H12,25422,410.5799460224761,296.62864306548073,-289.0055710481711,-1.0389715505723043
PERS|H13-H24,50844,351.0762798140446,244.97289759820407,-126.7799365670688,-0.4907975659844217
DA|Overall,101688,340.6021077106463,254.3799331806245,-189.64019109595432,-0.40317022952775106
DA|H01-H03,12711,340.6021077106463,254.37993318062456,-189.64019109595435,-0.40317022952775106
DA|H04-H06,12711,340.6021077106463,254.37993318062456,-189.64019109595435,-0.40317022952775106
DA|H07-H12,25422,340.6021077106463,254.37993318062456,-189.64019109595435,-0.4031702295277513
DA|H13-H24,50844,340.6021077106463,254.3799331806245,-189.64019109595435,-0.40317022952775083
P1_XGB_LG|Overall,101688,136.94898795656607,92.15907477187909,-1.3900792669901822,0.7731528360857765
P1_XGB_LG|H01-H03,12711,109.74442079768845,71.04728893214389,0.21685014578235604,0.8543264844830094
P1_XGB_LG|H04-H06,12711,132.56010833461167,90.32887805270735,-1.0775713105127522,0.7874596456575857
P1_XGB_LG|H07-H12,25422,139.71398802655818,94.58010524535788,-2.114769821791564,0.763900276503083
P1_XGB_LG|H13-H24,50844,142.63956788015278,96.68405517486647,-1.507593331901983,0.7539090013848625
P2_CB_LG|Overall,101688,136.78319243988813,93.03588211322409,-0.23653450720679645,0.773701762764718
P2_CB_LG|H01-H03,12711,109.55621527570432,71.64369350648207,-0.10664134285965915,0.8548256998581003
P2_CB_LG|H04-H06,12711,133.4224391871423,91.70933639678825,-0.1894730896438963,0.7846854137304319
P2_CB_LG|H07-H12,25422,139.7409786190764,95.61446641782146,0.4907004424774514,0.7638090460249856
P2_CB_LG|H13-H24,50844,142.14248140278318,97.42627354171985,-0.64439062752643,0.7556212241198103
G1_LGBM_LG|Overall,101688,137.53661786966464,92.64429391665065,-0.8972082652654254,0.7712019173943496
