Method,K (scenarios),below-min rate,P(PIT<=0.10),|P(PIT<=0.10) - 0.10|,Low-PV day below-min
K=5 Baseline,5,29.5%,30.6%,0.2058,58.7%
K=6 PCSTA (mainline),6,19.5%,19.5%,0.0945,45.4%
