Method,PICP80 All Daytime,PICP90 All Daytime,ACE80 All Daytime,MPIW80 (W/m2),CRPS All Daytime,PICP80 Peak (10-15h)
Raw (uncalibrated),73.9%,84.4%,-0.061,252.4,59.91,73.2%
AgACI (calibrated),80.3%,90.1%,0.003,275.1,59.87,80.3%
