final_label,case,full_total_m_ntd,capex_m_ntd,basic_m_ntd,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,TREC_RE20_m_ntd,monthly_peak_max_kw,oc_hours,total_charge_kwh,total_discharge_kwh,soc_min_kwh,soc_max_kwh,infeasible_steps,fallback_steps,solver_status_summary,solve_time_total_sec,first_step_charging_near_risk_hours,shield_slack_positive_hours,risk0_hours
CCOR_DET,CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,105.76817596176107,7.348885975276199,7.747012349999999,75.64159341398195,6.452027155954996,2.125757066547948,6.4529,4977.685764444444,970,,,752.5830000000001,6773.247,0,0,"{""2"": 8760}",132.58455681800842,0.0,0.0,39.0
CCOR_PROB,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,103.50301158103647,7.348885975276199,7.747012349999999,76.21686667665787,3.7728312042247634,1.971315374877645,6.4461,4695.420945899328,850,,,752.5830000000001,6773.247,0,0,"{""2"": 8760}",361.39754366874695,3.0,7.0,295.0
MPC_DET,MPC_DET_PVFOCUS_BASE,106.48556209243478,7.348885975276199,7.747012349999999,75.55697498029369,7.239121212664785,2.1471675742001044,6.4464,5133.697114518235,1021,2319820.302227184,2096497.638160033,752.5830000000001,6773.247,0,0,"{""2"": 8760}",130.8386435508728,,,
MPC_PROB,MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,104.4422179755334,7.348885975276199,7.747012349999999,75.87658081265774,4.973722232898871,2.0478166047005963,6.4482,4810.121933333334,1007,2214167.861453441,2001146.3103617304,752.5830000000001,6773.247,0,0,"{""2"": 8760}",355.097373008728,,,
