issue_time,raw_scenario_count,R1_representation_error,R3_representation_error,R1_minus_R3,better_method
2024-10-31 07:00:00,500,0.0727518272133339,0.0859915676110113,-0.013239740397677405,R1
2024-10-31 08:00:00,500,0.2914586154717212,0.4884800112221866,-0.1970213957504654,R1
2024-10-31 09:00:00,500,0.6020816788536664,0.8366062286974714,-0.234524549843805,R1
2024-10-31 10:00:00,500,0.9080163408339964,1.2338957251401317,-0.3258793843061353,R1
2024-10-31 11:00:00,500,1.211691540990122,1.5696099258795393,-0.3579183848894172,R1
2024-10-31 12:00:00,500,1.3553241137353913,1.7510868986049244,-0.3957627848695331,R1
2024-10-31 13:00:00,500,1.7793284934778466,2.0104951985719515,-0.23116670509410486,R1
2024-10-31 14:00:00,500,2.006315380323113,2.091854130498278,-0.08553875017516521,R1
2024-10-31 15:00:00,500,2.144239309567556,2.4970429770663687,-0.35280366749881287,R1
2024-10-31 16:00:00,500,2.416648849740461,2.7574656161803843,-0.3408167664399233,R1
2024-10-31 17:00:00,500,2.515334669063335,2.665676165425728,-0.15034149636239302,R1
2024-10-31 18:00:00,500,2.3395629262796542,2.693480696133691,-0.35391776985403656,R1
2024-10-31 19:00:00,500,2.5061747978638214,2.9061731988637987,-0.3999984009999773,R1
2024-10-31 20:00:00,500,2.325750991334,2.840331438834178,-0.5145804475001778,R1
2024-10-31 21:00:00,500,2.3873092264966678,2.8696138253498487,-0.4823045988531809,R1
2024-10-31 22:00:00,500,2.4251931558654545,2.792443912012074,-0.3672507561466194,R1
2024-10-31 23:00:00,500,2.490809396447452,2.811268748794513,-0.32045935234706135,R1
2024-11-01 00:00:00,500,2.3030067581985505,2.8599132378083008,-0.5569064796097503,R1
2024-11-01 01:00:00,500,2.3988535134758777,2.6431303203218017,-0.244276806845924,R1
2024-11-01 02:00:00,500,2.3041171902094555,2.6327980175087733,-0.3286808272993178,R1
2024-11-01 03:00:00,500,2.431276069593256,2.737949258929898,-0.3066731893366419,R1
2024-11-01 04:00:00,500,2.344814331170407,2.7440579048215827,-0.3992435736511757,R1
2024-11-01 05:00:00,500,2.491937302204702,2.739791023481809,-0.2478537212771066,R1
2024-11-01 06:00:00,500,2.4111924782287444,2.7301006192233426,-0.3189081409945982,R1
2024-11-01 07:00:00,500,2.557124193391544,2.7699355525348275,-0.21281135914328342,R1
2024-11-01 08:00:00,500,2.295568679274708,2.6993283267634616,-0.4037596474887537,R1
2024-11-01 09:00:00,500,2.328863746653158,2.53248228103091,-0.2036185343777519,R1
2024-11-01 10:00:00,500,2.388779841082126,2.6764912893644297,-0.28771144828230355,R1
2024-11-01 11:00:00,500,2.4350802869572705,2.587563195006678,-0.15248290804940767,R1
2024-11-01 12:00:00,500,2.4483969372058088,2.784616093873596,-0.33621915666778746,R1
2024-11-01 13:00:00,500,2.554426457618268,2.679709544746283,-0.12528308712801506,R1
2024-11-01 14:00:00,500,2.419561571955125,2.8133883055411992,-0.39382673358607434,R1
2024-11-01 15:00:00,500,2.4015674946653447,2.6970161455445947,-0.29544865087925,R1
2024-11-01 16:00:00,500,2.400412288627964,2.6130586387843446,-0.21264635015638067,R1
2024-11-01 17:00:00,500,2.409151446024381,2.8076448254670043,-0.3984933794426233,R1
2024-11-01 18:00:00,500,2.380641421525447,2.6602057198314446,-0.2795642983059974,R1
