Model Type,Model,Literature basis,RMSE,MAE,MSE,NRMSE_day,R2,n,Remark
XGBoost,Main XGBoost H1,BH main method / gradient boosting,95.67152605235236,63.32075974779849,9153.040897185934,28.92025095444396,0.8926274043588825,3846,BH-safe H1 run; chronological split; NWP h1 features used
CatBoost,Weather-Classified CatBoost (WC-CB),Ahmed et al. (2024)-style WC-CB,96.68374636764048,63.21399406999148,9347.746811682237,29.22623191604481,0.8903433460157615,3846,BH-safe literature-style baseline
CNN-LSTM,CNN-LSTM hybrid,Zang et al. (2020)-style pseudo-spatial CNN-LSTM,98.0615485001064,68.34778526540106,9616.06729423872,29.639380507621,0.887212732311118,3844,BH-safe deterministic deep-learning baseline; PyTorch backend
CatBoost,Conventional CatBoost,Ahmed et al. (2024) baseline without weather clustering,97.36865746333386,64.36095668835395,9480.65545621204,29.4332715817244,0.8887842197858443,3846,Global CatBoost baseline
Ablation,CNN-only,Zang-style ablation,97.9241010768543,68.75646521757346,9589.129571709978,29.59783663502391,0.8875286860195117,3844,Extended reference
Ablation,LSTM-only,Zang-style ablation,100.40004645727068,69.3501077779374,10080.169328622113,30.346198132152097,0.8817692595498244,3844,Extended reference
Naive,Persistence,Persistence baseline,151.8571486012219,113.75592374005878,23060.593581293582,45.89925285739371,0.7295213041119027,3844,Extended reference
