Model,RMSE,MAE,R2,n_aligned,max_ytrue_diff_max
Main XGBoost H1,95.67724988709114,63.31769151529537,0.89263074235237,3844,6.666666672572319e-05
Weather-Classified CatBoost (WC-CB),96.69624632007996,63.22088825730214,0.8903315225836512,3844,6.666666672572319e-05
CNN-LSTM hybrid,98.06154793499569,68.34778482268757,0.8872127332923482,3844,6.666666672572319e-05
