case,scenario_reduction,full_total_m_ntd,capex_m_ntd,basic_m_ntd,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,TREC_RE20_m_ntd,monthly_peak_max_kw,oc_hours,risk0_hours,shield_slack_positive_hours,infeasible_steps,fallback_steps,solver_status_summary,solve_time_total_sec
MPC_PROB_PVFOCUS_KM_K5,PV_KM_K5,105.20166147728622,7.3488859752761995,7.747012349999999,75.79168999089177,5.7955165541549,2.079056606963348,6.4395,4958.201282307805,1024,1551,0,0,0,"{""2"": 8760}",349.78346276283264
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,PV_KM_K5,104.20361692500856,7.3488859752761995,7.747012349999999,76.12003724596784,4.567694564997053,1.981086788767488,6.4389,4810.121933333334,812,206,5,0,0,"{""2"": 8760}",359.24439668655396
