case,oc_hours,monthly_peak_max_kw,OC_DCT_m_ntd
MPC_PROB_PVFOCUS_KM_K5,1024,4958.201282307805,5.7955165541549
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,812,4810.121933333334,4.567694564997053
