case,month_id,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,monthly_peak_kw,oc_hours
MPC_PROB_PVFOCUS_KM_K5,1,3.2478853483497185,0.08168911923702692,0.2170903188369318,3551.1747430707815,11
MPC_PROB_PVFOCUS_KM_K5,2,3.4918478964422093,0.17369377353182547,0.19021569308685052,3763.566884425455,9
MPC_PROB_PVFOCUS_KM_K5,3,4.720477597396915,0.25962120731451144,0.19118714197012737,3935.1814915408654,45
MPC_PROB_PVFOCUS_KM_K5,4,5.062186872111933,0.2878352024780956,0.1933180738543567,3991.530593125815,57
MPC_PROB_PVFOCUS_KM_K5,5,7.347306921096364,0.6825771984975298,0.15735121622485979,4434.221944689221,115
MPC_PROB_PVFOCUS_KM_K5,6,8.397855461029335,0.641805960917334,0.13269567526489154,4373.441924444445,121
MPC_PROB_PVFOCUS_KM_K5,7,8.407317457439927,0.47124324291200015,0.14550093924357319,4119.174306666667,87
MPC_PROB_PVFOCUS_KM_K5,8,7.530178525107989,0.5422112928175018,0.13847178956823616,4224.970445464373,87
MPC_PROB_PVFOCUS_KM_K5,9,9.678417958458372,0.8866419273470117,0.1394163802318883,4738.432929855414,195
MPC_PROB_PVFOCUS_KM_K5,10,7.879501161548474,1.0340625381720756,0.1814537041786003,4958.201282307805,161
MPC_PROB_PVFOCUS_KM_K5,11,5.388487267840673,0.4023963796358693,0.17926688401715135,4220.332624597302,85
MPC_PROB_PVFOCUS_KM_K5,12,4.640227524069852,0.33173871129411797,0.21308879048580398,4079.2148527943236,51
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,1,3.261542776858385,0.0033060278166217706,0.21184874368121787,3316.3542175453017,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,2,3.503846960931368,0.07412059419969831,0.18562196119914315,3528.5009113232422,5
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,3,4.765042170666745,0.07239162371938165,0.17440503617546638,3523.321251406176,17
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,4,5.1244048101740685,0.0459543552624164,0.17385882053093654,3444.1203273289884,9
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,5,7.376407253536858,0.6847174490473623,0.14869839540927904,4437.4125388302955,114
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,6,8.404496384724043,0.6973410964940763,0.13374393800865914,4456.231333473578,120
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,7,8.42116602743388,0.47124324291200015,0.1447814699681685,4119.174306666667,83
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,8,7.532466564890539,0.584976639455982,0.1383253980723593,4288.723198354177,89
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,9,9.687914667325469,0.8256822224213334,0.1406210396864458,4647.556804444444,172
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,10,7.893160584261721,0.9347309108800006,0.17884135124240186,4810.121933333334,155
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,11,5.4423415368715355,0.14835154538921264,0.15958980393036962,3712.953287176378,41
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,12,4.7072475082932215,0.024878857398967696,0.19075083086296993,3380.9822270789923,6
