comparison,tailaware_improves_total,tailaware_reduces_OC_DCT,tailaware_increases_TOU,final_status
MPC tail-aware TKM vs ordinary KM,True,True,True,TAILAWARE_ABLATION_SUPPORTS_TKM_MAIN
CCOR tail-aware TKM vs ordinary KM,True,True,True,TAILAWARE_ABLATION_SUPPORTS_TKM_MAIN
