Model,Lead,n_all,RMSE,MAE,MBE,R2,n_daytime,n_nighttime
XGB direct-24 without NWP,H01,8753,64.29713190098965,27.550782380422422,0.6387767159817969,0.9363011455286787,4237,4516
XGB direct-24 without NWP,H24,8753,131.78291625001083,66.39794924169618,2.280335540896486,0.7324110009317901,4237,4516
