feature
ghi_clear_target
solar_elevation_target
solar_zenith_target
target_hour
target_month
target_doy
target_hour_sin
target_hour_cos
target_doy_sin
target_doy_cos
target_month_sin
target_month_cos
horizon_h
same_day
cross_day
issue_hour
issue_month
issue_hour_sin
issue_hour_cos
ghi_lag_tau
ghi_lag_1h
ghi_lag_2h
ghi_lag_3h
ghi_lag_6h
ghi_lag_12h
ghi_lag_24h
ghi_lag_48h
ghi_lag_168h
csi_lag_tau
csi_lag_1h
csi_lag_2h
csi_lag_3h
csi_lag_6h
csi_lag_12h
csi_lag_24h
csi_lag_48h
csi_lag_168h
csi_roll_mean_3h
csi_roll_mean_6h
csi_roll_mean_24h
csi_roll_std_3h
csi_diff_1h
csi_diff_3h
ghi_roll_mean_3h
ghi_roll_std_3h
ghi_same_m24h
ghi_same_m48h
ghi_same_m168h
ghi_same_m336h
temp_tau
humidity_tau
wind_speed_tau
sunshine_tau
pressure_tau
visibility_tau
precip_tau
