method,window,n_hours,picp80,picp90,ace80,ace90,mpiw80,mpiw90,crps,pinball_mean
raw,all_daytime,4422.0,0.7385798281320669,0.8441881501582994,-0.06142017186793314,-0.05581184984170062,252.439958795415,319.7619837047661,59.91467130528508,29.95733565264254
raw,critical_10_15,2190.0,0.7315068493150685,0.8378995433789954,-0.06849315068493156,-0.06210045662100461,369.2339357633895,467.99860638252676,89.00206146752015,44.50103073376008
agaci,all_daytime,4422.0,0.8032564450474898,0.9014020805065581,0.0032564450474897866,0.001402080506558101,275.0541909813803,347.96656408956414,59.87436053402107,29.937180267010536
agaci,critical_10_15,2190.0,0.8031963470319635,0.9013698630136986,0.0031963470319634757,0.001369863013698569,402.4639438069657,509.3802789592025,88.8940694743057,44.44703473715285
