Method,PICP80 (all daytime),PICP90 (all daytime),ACE80 (all daytime),MPIW80 (W/m2),CRPS (all daytime),PICP80 (peak 10-15h)
Raw (uncalibrated),73.9%,84.4%,-0.061,252.4400,59.9147,73.2%
AgACI (calibrated),80.3%,90.1%,+0.003,275.0542,59.8744,80.3%
