target_date,issue_day,target_day,hour_local,hour_of_day,ghi_realized,ghi_clear_sky,q05,q10,q50,q90,q95,aci_q05,aci_q10,aci_q50,aci_q90,aci_q95,observed_in_raw80,observed_in_cal80
2025-03-17,2025-03-16,2025-03-17,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
2025-03-17,2025-03-16,2025-03-17,7,7,2.7777777777777777,142.91456714244453,3.198931169509888,4.338923168182373,8.719147205352783,35.84165954589844,40.36739730834961,0.0,1.9714447979782528,8.719147205352783,38.209137916102556,43.650611817280456,False,True
2025-03-17,2025-03-16,2025-03-17,8,8,16.666666666666668,385.5684100261876,19.461545944213867,21.292899703979494,31.33077507019043,106.32344360351563,125.36889953613282,10.106396376927682,14.90272549577192,31.33077507019043,112.7136178117232,134.724049103419,False,True
2025-03-17,2025-03-16,2025-03-17,9,9,33.333333333333336,605.6210164652499,40.11514053344727,41.35101318359375,71.89217987060547,281.7677856445313,309.4800048828125,16.321244182586643,23.283328465317204,71.89217987060547,299.8354703628078,333.27390123367314,False,True
2025-03-17,2025-03-16,2025-03-17,10,10,41.666666666666664,777.551671174182,63.795117950439455,67.7080696105957,101.40554962158203,374.74168701171874,419.52801513671875,32.37204536565142,44.63402806045066,101.40554962158203,397.8157285618638,450.9510877215068,False,False
2025-03-17,2025-03-16,2025-03-17,11,11,63.888888888888886,887.3766118646564,81.21562042236329,87.74842834472656,150.0564697265625,465.8236877441406,577.2090942382813,37.40286356862381,59.33549975955843,150.0564697265625,494.23661632930873,621.0218510920208,False,True
2025-03-17,2025-03-16,2025-03-17,12,12,91.66666666666667,926.8846969760335,90.26988067626954,101.69715423583985,191.35362243652344,472.872607421875,572.0279418945313,47.71458526865636,73.80275654185897,191.35362243652344,500.76700511585585,614.5832373021444,False,True
2025-03-17,2025-03-16,2025-03-17,13,13,77.77777777777777,893.1994416072696,86.75850677490234,97.72651977539063,177.1324035644531,473.54906005859374,565.5229736328125,44.46764553578689,69.48288644501653,177.1324035644531,501.79269338896785,607.813834871928,False,True
2025-03-17,2025-03-16,2025-03-17,14,14,83.33333333333333,788.7878693888554,82.49928741455078,88.17543487548828,155.564697265625,434.3509887695312,487.1518310546875,46.75497939300533,62.15981749193592,155.564697265625,460.3666061530836,522.8961390762329,False,True
2025-03-17,2025-03-16,2025-03-17,15,15,125.0,621.447859151969,60.9552604675293,64.82938232421876,137.1222351074219,344.07374877929686,391.00030517578125,31.80128151830034,43.84374508759467,137.1222351074219,365.05938601592095,420.15428412501024,True,True
2025-03-17,2025-03-16,2025-03-17,16,16,155.55555555555554,404.65291941378223,52.26297836303711,52.66667098999024,109.99399871826172,220.7811248779297,269.7375793457031,33.052721942901584,40.03261506144204,109.99399871826172,233.4151808064779,288.94783576583865,True,True
2025-03-17,2025-03-16,2025-03-17,17,17,72.22222222222223,161.97719120754974,25.67275047302246,25.69927215576172,48.91572570800781,109.44478759765624,142.4297668457031,15.35921402676899,19.405669783158725,48.91572570800781,115.73838997025923,152.74330329195658,True,True
2025-03-17,2025-03-16,2025-03-17,18,18,22.22222222222222,0.1539673706674382,5.287393951416016,5.779459667205811,16.098330307006837,24.178708648681642,32.483625411987305,2.8850601723988825,4.396728228597928,16.098330307006837,25.561440087289526,34.88595919100444,True,True
